Designator,Mid X,Mid Y,Rotation,Layer
C1_4,163.5,-127.5,0.0,top
C1_3,138.0,-80.4,270.0,top
C1_2,217.25,-107.0,0.0,top
C1,217.25,-51.0,0.0,top
C2_3,217.5,-104.5,0.0,top
C2_2,140.5,-80.25,270.0,top
C2,217.5,-48.5,0.0,top
C3_2,147.5,-96.5,180.0,top
C3,134.0,-43.0,0.0,top
C4_2,193.0,-35.5,0.0,top
C4,136.5,-100.5,90.0,top
C5_2,177.75,-33.5,0.0,top
C5,163.136252,-105.12,180.0,top
C6,174.5,-108.5,90.0,top
C7,159.5,-109.5,0.0,top
D1_4,136.5,-110.3,90.0,top
D1_3,181.325,-35.5,0.0,top
D1_2,221.7,-113.3,90.0,top
D1,221.7,-57.3,90.0,top
D2_2,164.0,-78.0,270.0,top
D2,146.5,-125.5,180.0,top
D3_2,155.5,-124.5,90.0,top
D3,178.0,-43.0,270.0,top
D4,159.5,-105.5,180.0,top
D5,168.5,-108.5,180.0,top
D6,138.5,-126.5,180.0,top
FB1,180.5,-34.0,0.0,top
IC1,168.5,-116.5,90.0,top
J1_4,185.5,-56.4,90.0,top
J1_3,133.45,-118.5,270.0,top
J1_2,209.695,-59.3,90.0,top
J1,209.695,-115.3,90.0,top
J2_4,133.0775,-104.75,180.0,top
J2_3,203.975,-111.825,180.0,top
J2_2,186.0,-77.9,90.0,top
J2,203.975,-55.825,180.0,top
J3_2,185.5,-125.7,90.0,top
J3,168.5,-40.5,180.0,top
J4,188.9,-89.25,270.0,top
J5,152.1,-97.35,180.0,top
Q1_2,142.5,-120.5,180.0,top
Q1,127.0,-45.5,90.0,top
Q2,182.5,-38.5,270.0,top
R1_4,217.0,-112.825,90.0,top
R1_3,217.0,-56.825,90.0,top
R1_2,143.5,-111.9125,180.0,top
R1,133.5,-81.0,90.0,top
R10,196.5,-73.0,90.0,top
R11,195.0,-73.0,270.0,top
R12,187.5875,-82.75,0.0,top
R2_4,139.937258,-111.9775,180.0,top
R2_3,219.0,-59.5875,90.0,top
R2_2,219.0,-115.5875,90.0,top
R2,183.562742,-33.3875,90.0,top
R3_2,191.0,-83.0875,0.0,top
R3,146.61,-122.944516,270.0,top
R4_2,142.5,-123.5,180.0,top
R4,196.5,-76.0,90.0,top
R5_2,195.0,-76.0,90.0,top
R5,154.5,-128.5,0.0,top
R6_2,164.5,-108.5,90.0,top
R6,137.0,-75.5,0.0,top
R7_2,140.0,-75.5,0.0,top
R7,159.062742,-111.8475,180.0,top
R8_2,159.065,-77.0,90.0,top
R8,134.5,-126.9125,0.0,top
R9,178.0,-38.5,90.0,top
SW1,153.5,-43.0,90.0,top
U1_4,150.0,-62.0,90.0,top
U1_3,141.5,-101.5,0.0,top
U1_2,215.5,-50.5,90.0,top
U1,215.5,-106.5,90.0,top
U2_2,149.5,-117.5,0.0,top
U2,138.5,-78.5,0.0,top
U3,195.3,-81.25,90.0,top
U4,181.0,-81.25,0.0,top
